feature,context,odds_ratio,p_value,effect_size,effect_category,p_corrected,significant
hr_mean,context_loud,,,0.0,Negligible,,False
hr_mean,context_high_freq,,,0.0,Negligible,,False
hr_mean,context_changing,,,0.0,Negligible,,False
hr_mean,context_voice,,,0.0,Negligible,,False
hr_mean,context_complex,,,0.0,Negligible,,False
hr_mean,context_quiet_voice_steady,,,,Unknown,,False
hr_mean,context_loud_novoice_changing,,,,Unknown,,False
hr_mean,context_quiet_simple,,,0.0,Negligible,,False
hr_mean,context_loud_complex,,,0.0,Negligible,,False
hr_mean,context_voice_highfreq,,,0.0,Negligible,,False
hr_std,context_loud,,,0.0,Negligible,,False
hr_std,context_high_freq,,,0.0,Negligible,,False
hr_std,context_changing,,,0.0,Negligible,,False
hr_std,context_voice,,,0.0,Negligible,,False
hr_std,context_complex,,,0.0,Negligible,,False
hr_std,context_quiet_voice_steady,,,,Unknown,,False
hr_std,context_loud_novoice_changing,,,,Unknown,,False
hr_std,context_quiet_simple,,,0.0,Negligible,,False
hr_std,context_loud_complex,,,0.0,Negligible,,False
hr_std,context_voice_highfreq,,,0.0,Negligible,,False
hr_trend,context_loud,,,0.0,Negligible,,False
hr_trend,context_high_freq,,,0.0,Negligible,,False
hr_trend,context_changing,,,0.0,Negligible,,False
hr_trend,context_voice,,,0.0,Negligible,,False
hr_trend,context_complex,,,0.0,Negligible,,False
hr_trend,context_quiet_voice_steady,,,,Unknown,,False
hr_trend,context_loud_novoice_changing,,,,Unknown,,False
hr_trend,context_quiet_simple,,,0.0,Negligible,,False
hr_trend,context_loud_complex,,,0.0,Negligible,,False
hr_trend,context_voice_highfreq,,,0.0,Negligible,,False
hr_max_delta,context_loud,,,0.0,Negligible,,False
hr_max_delta,context_high_freq,,,0.0,Negligible,,False
hr_max_delta,context_changing,,,0.0,Negligible,,False
hr_max_delta,context_voice,,,0.0,Negligible,,False
hr_max_delta,context_complex,,,0.0,Negligible,,False
hr_max_delta,context_quiet_voice_steady,,,,Unknown,,False
hr_max_delta,context_loud_novoice_changing,,,,Unknown,,False
hr_max_delta,context_quiet_simple,,,0.0,Negligible,,False
hr_max_delta,context_loud_complex,,,0.0,Negligible,,False
hr_max_delta,context_voice_highfreq,,,0.0,Negligible,,False
rmssd,context_loud,,,0.0,Negligible,,False
rmssd,context_high_freq,,,0.0,Negligible,,False
rmssd,context_changing,,,0.0,Negligible,,False
rmssd,context_voice,,,0.0,Negligible,,False
rmssd,context_complex,,,0.0,Negligible,,False
rmssd,context_quiet_voice_steady,,,,Unknown,,False
rmssd,context_loud_novoice_changing,,,,Unknown,,False
rmssd,context_quiet_simple,,,0.0,Negligible,,False
rmssd,context_loud_complex,,,0.0,Negligible,,False
rmssd,context_voice_highfreq,,,0.0,Negligible,,False
